site,year,last_year,dissection order,date_dis,infection,infection_severity,habitat,this_year,observer
DRM,2021,3.5,73,04/28/2021,0,uninfected,Wet,0.8,adam
DRM,2021,3.5,23,04/23/2021,0,uninfected,Wet,0.8,adam
DRM,2021,3.5,27,04/23/2021,1,m,Wet,0.8,adam
DRM,2021,3.5,26,04/23/2021,0,uninfected,Wet,0.8,adam
DRM,2021,3.5,65,04/28/2021,1,l,Wet,0.8,adam
DRM,2021,3.5,40,04/24/2021,0,uninfected,Wet,0.8,adam
DRM,2021,3.5,48,04/27/2021,1,m,Wet,0.8,adam
DRM,2021,3.5,12,04/23/2021,1,h,Wet,0.8,adam
DRM,2021,3.5,57,04/28/2021,0,uninfected,Wet,0.8,adam
DRW,2021,0.3,11,04/23/2021,0,uninfected,Wet,0.8,adam
FIR,2021,2.35,21,04/23/2021,0,uninfected,Wet,0.333333333333333,adam
FIR,2021,2.35,24,04/23/2021,1,h,Wet,0.333333333333333,adam
FIR,2021,2.35,69,04/28/2021,1,l,Wet,0.333333333333333,adam
FIR,2021,2.35,60,04/28/2021,1,l,Wet,0.333333333333333,adam
FIR,2021,2.35,51,04/27/2021,0,uninfected,Wet,0.333333333333333,adam
FIR,2021,2.35,41,04/24/2021,0,uninfected,Wet,0.333333333333333,adam
FIR,2021,2.35,49,04/27/2021,1,l,Wet,0.333333333333333,adam
FIR,2021,2.35,28,04/23/2021,0,uninfected,Wet,0.333333333333333,adam
FIR,2021,2.35,35,04/24/2021,1,m,Wet,0.333333333333333,adam
FIR,2021,2.35,39,04/24/2021,1,h,Wet,0.333333333333333,adam
FIR,2021,2.35,63,04/28/2021,1,m,Wet,0.333333333333333,adam
FIR,2021,2.35,67,04/28/2021,1,l,Wet,0.333333333333333,adam
FIR,2021,2.35,72,04/28/2021,0,uninfected,Wet,0.333333333333333,adam
FIR,2021,2.35,43,04/24/2021,1,m,Wet,0.333333333333333,adam
FIR,2021,2.35,48,04/27/2021,1,m,Wet,0.333333333333333,adam
HEM,2021,0.65,8,04/22/2021,1,m,Wet,0.2,adam
HEM,2021,0.65,36,04/24/2021,0,uninfected,Wet,0.2,adam
HEM,2021,0.65,17,04/23/2021,1,h,Wet,0.2,adam
HEM,2021,0.65,13,04/23/2021,0,uninfected,Wet,0.2,adam
HEM,2021,0.65,3,04/22/2021,0,uninfected,Wet,0.2,adam
MSP,2021,0.05,71,04/28/2021,0,uninfected,Dry,0.133333333333333,adam
MSP,2021,0.05,53,04/27/2021,0,uninfected,Dry,0.133333333333333,adam
MSP,2021,0.05,50,04/27/2021,1,l,Dry,0.133333333333333,adam
MSP,2021,0.05,22,04/23/2021,0,uninfected,Dry,0.133333333333333,adam
MSP,2021,0.05,20,04/23/2021,1,m,Dry,0.133333333333333,adam
MSP,2021,0.05,32,04/23/2021,1,l,Dry,0.133333333333333,adam
MSP,2021,0.05,38,04/24/2021,0,uninfected,Dry,0.133333333333333,adam
MSP,2021,0.05,52,04/27/2021,1,l,Dry,0.133333333333333,adam
MSP,2021,0.05,25,04/23/2021,0,uninfected,Dry,0.133333333333333,adam
NEC,2021,0.45,58,04/28/2021,1,h,Dry,0.333333333333333,adam
NEC,2021,0.45,62,04/28/2021,1,l,Dry,0.333333333333333,adam
NEC,2021,0.45,6,04/22/2021,1,l,Dry,0.333333333333333,adam
NEC,2021,0.45,7,04/22/2021,0,uninfected,Dry,0.333333333333333,adam
NEC,2021,0.45,10,04/22/2021,1,m,Dry,0.333333333333333,adam
NEC,2021,0.45,9,04/22/2021,0,uninfected,Dry,0.333333333333333,adam
NEC,2021,0.45,33,04/24/2021,1,m,Dry,0.333333333333333,adam
NEC,2021,0.45,59,04/28/2021,1,m,Dry,0.333333333333333,adam
NEC,2021,0.45,15,04/23/2021,0,uninfected,Dry,0.333333333333333,adam
NEC,2021,0.45,16,04/23/2021,0,uninfected,Dry,0.333333333333333,adam
NEC,2021,0.45,70,04/28/2021,0,uninfected,Dry,0.333333333333333,adam
NEC,2021,0.45,46,04/24/2021,1,m,Dry,0.333333333333333,adam
NEC,2021,0.45,29,04/23/2021,0,uninfected,Dry,0.333333333333333,adam
NEC,2021,0.45,30,04/23/2021,1,l,Dry,0.333333333333333,adam
SCU,2021,0.05,2,04/22/2021,1,l,Dry,0,adam
SCU,2021,0.05,37,04/24/2021,0,uninfected,Dry,0,adam
SCU,2021,0.05,4,04/22/2021,1,m,Dry,0,adam
SCU,2021,0.05,66,04/28/2021,0,uninfected,Dry,0,adam
SCU,2021,0.05,44,04/24/2021,0,uninfected,Dry,0,adam
SCU,2021,0.05,31,04/23/2021,0,uninfected,Dry,0,adam
SCU,2021,0.05,61,04/28/2021,0,uninfected,Dry,0,adam
